,principal_component1,principal_component2
1653675605,2.1713232620708243,-0.028799918204719593
1653675606,2.172605177423041,-0.029332728792353147
1653675606,2.172605177423041,-0.029332728792353147
1653675606,2.173922835428658,-0.03226354706458741
1653675606,2.1775517263055133,-0.03372675263533509
1653675606,2.1775517263055133,-0.03372675263533509
1653675607,2.1775517263055133,-0.03372675263533509
1653675607,2.179477900851057,-0.03452782170128669
1653675607,2.1786115669656283,-0.03421438025800185
1653675608,2.1787753530410625,-0.03195504847284265
1653675608,2.1782538622263887,-0.03405211389809361
1653675608,2.1783637935137694,-0.03177266796097831
1653675608,2.1783637935137694,-0.03177266796097831
1653675609,2.178319565045836,-0.03176937571514889
1653675609,2.1780697810779506,-0.03164741653818057
1653675609,2.1780697810779506,-0.03164741653818057
1653675609,2.1780697810779506,-0.03164741653818057
1653675610,2.1766080089855357,-0.03339246835146466
1653675610,0.9273909570651935,0.6628914795585288
1653675610,0.9273909570651935,0.6628914795585288
1653675610,0.9273909570651935,0.6628914795585288
1653675611,-0.8471666565958116,-0.05810105285660184
1653675611,-0.8471666565958116,-0.05810105285660184
1653675611,-0.8471666565958116,-0.05810105285660184
1653675611,-0.8471666565958116,-0.05810105285660184
1653675612,-0.8471666565958116,-0.05810105285660184
1653675612,-0.8471666565958116,-0.05810105285660184
1653675612,-0.8471666565958116,-0.05810105285660184
1653675612,-0.8463622108760523,-0.05607314867533122
1653675613,-0.8471666565958116,-0.05810105285660184
1653675613,-0.8471666565958116,-0.05810105285660184
1653675613,-0.8471666565958116,-0.05810105285660184
1653675613,-0.8471666565958116,-0.05810105285660184
1653675613,-0.8471666565958116,-0.05810105285660184
1653675614,-0.8471666565958116,-0.05810105285660184
1653675614,-0.8471666565958116,-0.05810105285660184
1653675614,-0.8471666565958116,-0.05810105285660184
1653675614,-0.8471666565958116,-0.05810105285660184
1653675615,-0.8471666565958116,-0.05810105285660184
1653675615,-0.8471666565958116,-0.05810105285660184
1653675615,-0.8471666565958116,-0.05810105285660184
1653675615,-0.8471666565958116,-0.05810105285660184
1653675616,-0.8471666565958116,-0.05810105285660184
1653675616,-0.8471666565958116,-0.05810105285660184
1653675616,-0.8471666565958116,-0.05810105285660184
1653675616,-0.8471666565958116,-0.05810105285660184
1653675617,-0.8471666565958116,-0.05810105285660184
1653675617,-0.8471666565958116,-0.05810105285660184
1653675617,-0.8471666565958116,-0.05810105285660184
1653675617,-0.8471666565958116,-0.05810105285660184
1653675618,-0.8463622108760523,-0.05607314867533122
1653675618,-0.8463622108760523,-0.05607314867533122
1653675618,-0.8463622108760523,-0.05607314867533122
1653675618,-0.8463622108760523,-0.05607314867533122
1653675619,-0.8471666565958116,-0.05810105285660184
1653675619,-0.8471666565958116,-0.05810105285660184
1653675619,-0.8471666565958116,-0.05810105285660184
1653675619,-0.8471666565958116,-0.05810105285660184
1653675619,-0.8471666565958116,-0.05810105285660184
1653675620,-0.8463622108760523,-0.05607314867533122
1653675620,-0.8471666565958116,-0.05810105285660184
1653675620,-0.8471666565958116,-0.05810105285660184
1653675620,-0.8471666565958116,-0.05810105285660184
1653675621,-0.8471666565958116,-0.05810105285660184
1653675621,-0.8471666565958116,-0.05810105285660184
1653675621,-0.8471666565958116,-0.05810105285660184
1653675621,-0.8471666565958116,-0.05810105285660184
1653675622,-0.8471666565958116,-0.05810105285660184
1653675622,-0.8471666565958116,-0.05810105285660184
1653675622,-0.8471666565958116,-0.05810105285660184
1653675622,-0.8471666565958116,-0.05810105285660184
1653675622,-0.8471666565958116,-0.05810105285660184
1653675623,-0.8471666565958116,-0.05810105285660184
1653675623,-0.8471666565958116,-0.05810105285660184
1653675623,-0.8471666565958116,-0.05810105285660184
1653675623,-0.8471666565958116,-0.05810105285660184
1653675624,-0.8471666565958116,-0.05810105285660184
1653675624,-0.8471666565958116,-0.05810105285660184
